,대출사기형 사례
0,KB저축은행입니다. 핸드폰 어떤거 사용하세요?
1,우리은행 직원인데요 영업점에선 절 모를수도있어요
2,KB저축은행인데요 카카오톡친구추천부탁드립니다
3,영업점에선 절 모를수도있어요(...???)
4,OO캐피탈입니다. 심사결과 확인되어서 연락드렸습니다.
5,OO저축은행입니다.
6,동 상품은 연체를 하시거나 고의적으로 상환을 회피하실 경우 고객님의 미래 소득에 대한 추심권한을 부여받고 진행되는 대출상품입니다. 대출 서류 접수를 위해 사업자등록증과 신분증 사본을 보내주세요
7,"고객님 상환하셨다는 서류를 고객센터로 보내야 하는데, 수요일이 공휴일이라 처리가 밀려서 아직 상환내역이 확인안되시는 걸거에요"
8,(통장매매) 사장님께서 안쓰시는 계좌 있으시면 월 400~450만원까지 선지급해드리고 임대하고 있어 연락 드렸습니다
9,현재 이용하시는 고금리 대출 상품들 저금리 전환 가능하세요. 현재 이용하시는 고금리 대출이 얼마정도 되시나요?
10,"제가 불러드리는 주소로 입력하셔서 어플리케이션 다운로드받으세요. 나중에 대출 심사부에서 전자 서명차 연락드릴건데, 그때 저희 어플리케이션 실행하시면 전자 서명하실 수 있으세요."
11,고객님께서 쓰시는 통장을 연계해서 마이너스 통장을 발급해드리고 있습니다. 현재 이용하시는 계좌번호를 불러주세요.
12,"단시간에 신용평점을 상향시킬 수 있는 방법이 있는데, 채무상환능력평가라는 방법입니다. 채무상환능력평가라는 것은 고객님께서 대출을 발생시키시고 곧바로 일시상환함으로써 자금 상환능력이 있다는 것을 증명하는 방법입니다."
13,"이 상품은 정부지원자금대출이기 때문에, 현재 고객님의 대출 현황을 말씀해주셔야 해요"
14,(대포통장 명의인으로 신고된 제보자가 전화해서 담당자 바꿔달라고 하자) OOO대리 오늘자로 퇴사하셨는데요.
15,(현금 인출책 모집) 저희 쪽 직원에게 수수료를 제한 금액을 전달하시면 됩니다
16,(대출을 취소하겠다고 하자) 고객님 본인 취소 건이기 때문에 입금하신 돈을 환급받으시려면 최소 일주일을 기다리셔야 합니다
17,OO저축은행에서 대출받으시면 1시간 이내에 처리될 수 있도록 하겠습니다
18,저희는 이미 확정금리로 나왔습니다. 무조건 대출 진행 가능합니다.
19,"대출 진행 취소하시면, 기존에 고객님께서 납부하셨던 금액 반환받으시는데 일주일 정도 걸립니다"
20,(현금인출책 모집) 자동차를 구매하려는 고개들의 체크카드로 입금되는 구매대금을 인출하여 회사계좌로 무통장입금하시면 됩니다
21,"팀장 이상 직급 직원의 개인실명계좌로 상환절차를 진행하실거에요. 대출 과정에서 종종 문제가 발생하는데, 책임을 회피하지 못하도록 팀장 이상 직원의 개인계좌로 절차를 진행하는 거에요"
22,"(대출사기 ①) 이미 금감원 쪽에 고객님께서 대출 알아보신다는 정보가 들어가서, 만약에 지금 대출을 취소하시면 향후 대출 받으실 때 불이익이 있을 수 있습니다"
23,(대출사기 ②) 저희 수금 담당자가 OOO씨(실제로는 미리 확보해둔 대포통장) 인데요. 혹시 은행에서 왜 여기로 송금하냐고 하면
24,"책에다가 체크카드꽂고, 그 책을 박스에 넣고, 그 박스를 테이프로 동봉하셨어요? 퀵서비스 직원 보내드릴게요. 은행에 ATM 1일 현금인출한도는 1천만원으로 변경해주세요."
25,OO저축은행 본사 변제과의 △△△ 팀장님 계좌(실제로는 미리 확보해둔 대포통장)입니다. 이 계좌로 원금 380만원을 상환하셔야 납부하셨다는 서류가 발급됩니다.
26,"신용도가 좀 낮아서, 신용도만 조금 상향되시면 보증서 발급 후 저희 쪽 대출 이용하실 수 있을 것 같습니다. 신용도를 상향하시려면, 당일 대출을 받으신 직후에 바로 상환하셔서 대출 상환 내역을 만드시면 돼요."
27,"OO저축은행 법인 콜센터인데, 타사 대출을 저금리로 채무통합해드리겠습니다"
28,OO저축은행 자금회수팀 OOO팀장입니다.
29,담당자관리계좌로 상환하신 후에 저희 쪽으로 연락주시면 상환 내용 확인해서 OO은행 쪽으로 완납결제서류 발송하도록 하겠습니다
30,"지금 대출 받으시려고 편법으로 진행하는거기 때문에, 혹시 은행 창구 직원이 돈을 왜 송금하는지 물어보더라도 마이너스 통장 발급받으려고 상환하는 거라고 말씀하시면 안됩니다. 사촌한테 사업자금 빌려주려고 송금하는거라고 말씀하시면 됩니다."
31,"담당자 관리계좌로 보내실 때 다른 문구가 확인되실텐데, 그 문구를 저한테 알려주세요"
32,(은행·캐피탈 직원 역할분담 ① - 은행직원) OOO캐피탈 채권회수팀에 직접 연락하셔서 기존 대출을 납부하시면서 전산이관 요청을 하셔야 합니다
33,"(은행·캐피탈 직원 역할분담 ② - 은행직원) 고객님이 OOO캐피탈에 직접 연락하시면 저희가 필요한 공문을 못받아요 못받아요. 저희가 미리 OOO캐피탈에 공문 요청할테니, 해당 직원에게 상환하세요"
34,(은행·캐피탈 직원 역할분담 ③ - 캐피탈직원) 저희 OOO캐피탈 대출 갚으시고 OO은행으로 저금리 대출 전환하시려는거 아니죠?
35,(현금인출책으로 이용) 김OO씨한테서 2천만원이 입금될 거에요. 은행에서 무슨 관계냐고 물으면 친오빠라고 하세요
36,대출을 위해 공증료를 내셔야 해요. (피해자가 돈이 없다고 하자) 그러시면 계좌에 거래내역을 생성시켜 신용평점을 높이시는 방법도 있어요.
37,(피해자에게 돈을 구하라고 한 후) 월요일날 다시 예약을 잡아드리겠습니다
38,"(대포통장 모집-①) 퀵서비스를 보내드릴 건데, 적당한 크기의 박스에 걸레 등을 꽉 채워서 무게를 늘려서 체크카드인 걸 들키지 않게 해서 보내주세요"
39,(대포통장 모집-②) (제보자가 대포통장 명의인으로 신고된 후 화가 나서 전화하자) 저희도 보이스피싱 사기를 당한거에요
40,저한테 사기꾼이라고 욕하신거 사과하시면 제가 내일 마이너스 통장 내어드릴게요. 사과 안하시고 마이너스 통장 신청 취소하시면 대부업체에 상환한 금액은 3개월 후에 환급받으시게 돼요.
41,원하시는 대출금의 20%에 해당하는 금액을 예치하셔야 상환능력이 확인되어 대출이 가능합니다
42,OO캐피탈 보안모듈 관련 전자계약서를 모바일 링크로 보내드렸습니다.
